Año;Trimestre;Provincia;HASTA 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;OTROS;TOTAL
2014;2;Neuquén;1.531;3.206;79.087;92;2.289;2;30;0;210.113
2014;2;Río Negro;3.468;5.507;84.978;78;1.569;2;8;0;183.522
2014;2;Salta;53;18.818;64.44;8.293;388;0;0;0;532.551
2014;2;San Juan;10;507;51.129;0;0;0;0;0;568.129
2014;2;San Luis;7;0;13.045;0;0;1;2;0;23.045
2014;2;Santa Cruz;153;1.637;25.374;2;0;0;0;0;182.011
2014;2;Santa Fe;8.515;115.197;353.559;23.939;10.058;34;792;0;1337.268
2014;2;Santiago Del Estero;1.231;9.914;23.842;2.867;142;0;0;0;179.854
2014;2;Tierra Del Fuego;12;334;31.198;2;0;0;0;0;379.198
2014;2;Tucumán;6;32.714;84.675;14.101;559;4;0;0;700.49
2014;1;Buenos Aires;8.469;171.244;2279.875;121.787;38.923;206;4.037;0;2830.335
2014;1;Capital Federal;852;88.826;1096.05;70.293;38.798;55;6.208;0;2207.175
2014;1;Catamarca;19;9.147;13.33;1.672;64;0;0;0;107.149
2014;1;Chaco;438;15.849;40.869;4.644;741;5;0;0;1245.362
2014;1;Chubut;7.452;10;61.329;0;0;0;0;0;78.781
2014;1;Córdoba;2.076;107.705;423.114;24.112;9.818;40;588;0;1194.825
2014;1;Corrientes;20;16.357;40.742;4.486;630;0;0;0;711.585
2014;1;Entre Ríos;2.177;35.206;85.248;10.828;746;0;43;0;922.459
2014;1;Formosa;2.062;8.475;13.685;1.133;67;0;0;0;92.355
2014;1;Jujuy;1.832;11.498;18.415;2.002;56;0;0;0;89.747
2014;1;La Pampa;7.434;6.535;32.501;17;5;4;10;0;82.47
2014;1;La Rioja;10;5.111;9.39;1.165;35;0;0;0;60.666
2014;1;Mendoza;35;6;166.655;19;10;6;9;0;251.655
2014;1;Misiones;545;14.46;52.852;5.139;958;0;0;0;1575.451
2014;1;Neuquén;4.133;987;77.148;84;1.582;2;22;0;1177.863
2014;1;Río Negro;4.67;4.618;84.304;73;1.062;1;8;0;176.654
2014;1;Salta;53;19.677;64.061;7.192;314;0;0;0;457.93
2014;1;San Juan;531;2;51.056;0;0;0;0;0;584.056
2014;1;San Luis;7;3;12.544;0;1;0;2;0;25.544
2014;1;Santa Cruz;161;1.625;24.972;1;1;0;0;0;189.597
2014;1;Santa Fe;8.456;124.468;345.225;20.328;6.845;23;668;0;1196.322
2014;1;Santiago Del Estero;1.234;10.531;22.817;2.422;109;0;0;0;146.004
2014;1;Tierra Del Fuego;12;607;30.902;6;0;0;0;0;655.902
2014;1;Tucumán;6;34.672;83.21;11.779;362;3;0;0;500.661
