Anio,Trimestre,Provincia,ADSL,Cablemodem,fibra_optica,Wireless,otras_tecnologias,accesos_hogares,banda_ancha,dial_up,velocidad_512kpbs,velocidad_1Mbps,velocidad_6Mbps,velocidad_10Mbps,velocidad_20Mbps,velocidad_30Mbps,velocidad_mas30Mbps,velocidad_otros,velocidad_bajada
2021,3,Santa Fe,246,443,93,43,16,7502,841,151.0,467.0,579.0,193.207,201.25,83.941,55.08,290.793,16.267,3.313
2021,3,Santiago Del Estero,20,86,909,6,3,4700,115,1.0,123.0,909.0,32.752,61.838,11.274,801.0,6.863,898.0,1.335
2021,3,Tierra Del Fuego,13,37,6,16,390,9495,50,289.0,17.0,0.0,23.723,13.397,9.782,1.433,976.0,895.0,952.0
2021,3,Tucumán,104,54,71,2,743,5464,232,25.0,32.0,97.0,39.446,50.293,21.986,5.3,115.154,164.0,4.21
2021,2,Buenos Aires,603,3,854,114,58,7000,4,5.0,37.192,31.178,1096.049,244.001,140.322,236.897,2337.604,9.108,5.276
2021,2,Capital Federal,149,1,41,6,29,11014,1,2.0,294.0,603.0,157.558,73.568,43.859,86.655,1037.752,66.0,7.275
2021,2,Catamarca,20,9,22,1,2,5234,56,1.0,71.0,0.0,7.219,9.091,6.828,4.941,25.388,2.206,4.219
2021,2,Chaco,40,63,28,8,2,4333,141,3.0,301.0,112.0,23.444,21.574,24.032,16.069,47.239,7.958,3.74
2021,2,Chubut,49,41,6,24,19,7229,138,825.0,104.0,105.0,89.639,22.605,16.604,3.896,1.112,5.172,768.0
2021,2,Córdoba,240,468,152,56,16,8012,931,62.0,99.0,2.452,201.757,136.516,66.95,70.824,442.357,9.925,3.959
2021,2,Corrientes,47,67,4,7,5,4354,129,3.0,67.0,645.0,29.419,27.037,24.524,10.059,32.697,5.053,3.037
2021,2,Entre Ríos,78,125,18,24,13,6166,258,15.0,107.0,3.024,63.518,55.349,39.468,18.484,61.605,16.077,2.762
2021,2,Formosa,20,13,4,16,171,3323,52,0.0,381.0,0.0,22.364,7.31,7.46,1.341,11.077,1.618,2.397
2021,2,Jujuy,25,61,20,3,4,5618,112,0.0,48.0,175.0,24.182,16.577,37.908,607.0,29.95,2.401,2.581
2021,2,La Pampa,9,57,17,13,1,8208,98,116.0,298.0,554.0,64.146,7.769,8.128,3.399,9.311,4.062,1.228
2021,2,La Rioja,12,54,9,6,30,7698,82,3.0,18.0,1.0,5.312,5.971,23.298,4.825,42.158,19.0,3.853
2021,2,Mendoza,92,71,45,22,827,4097,229,619.0,36.0,31.0,137.462,10.886,56.117,4.403,20.686,50.0,1.347
2021,2,Misiones,45,88,10,5,8,4501,156,0.0,51.0,5.0,41.643,25.907,25.811,16.172,38.308,8.279,2.868
2021,2,Neuquén,30,73,16,19,640,6914,138,373.0,112.0,327.0,57.713,8.631,5.871,5.943,54.008,5.645,3.611
2021,2,Río Negro,48,44,19,15,18,6194,144,501.0,125.0,557.0,69.356,3.663,15.019,3.867,31.488,20.009,2.375
2021,2,Salta,51,96,32,6,6,5493,192,2.0,101.0,20.0,42.543,67.012,7.099,9.654,58.882,6.328,2.924
2021,2,San Juan,40,12,7,11,8,3928,79,256.0,18.0,333.0,59.989,784.0,12.55,340.0,278.0,4.641,699.0
